parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 0 | 84 | 168 | x=((2*7)*12) | x 2 7 * 12 * = | x:egg 2:people 7:dozen *:dozen 12:egg *:egg =:egg
EXPR: 0 | POS | INT | 0 | 84 | 168 | ((2*7)*12)=x | 2 7 * 12 * x = | 2:people 7:dozen *:dozen 12:egg *:egg x:egg =:egg
EXPR: 0 | POS | INT | 2 | 84 | 168 | ((2*12)*7)=x | 2 12 * 7 * x = | 2:people 12:egg *:egg 7:dozen *:egg x:egg =:egg
EXPR: 0 | POS | INT | 5 | 84 | 168 | ((7*12)*2)=x | 7 12 * 2 * x = | 7:dozen 12:egg *:egg 2:people *:egg x:egg =:egg
EXPR: 0 | POS | INT | 10 | 84 | 108 | x=((2+7)*12) | x 2 7 + 12 * = | x:egg 2:people 7:people +:people 12:egg *:egg =:egg
EXPR: 0 | POS | INT | 10 | 84 | 2 | x=((2*7)-12) | x 2 7 * 12 - = | x:egg 2:egg 7:dozen *:egg 12:egg -:egg =:egg
EXPR: 0 | POS | INT | 10 | 84 | 108 | ((2+7)*12)=x | 2 7 + 12 * x = | 2:people 7:people +:people 12:egg *:egg x:egg =:egg
EXPR: 0 | POS | INT | 10 | 84 | 2 | ((2*7)-12)=x | 2 7 * 12 - x = | 2:people 7:egg *:egg 12:egg -:egg x:egg =:egg
EXPR: 0 | POS | INT | 10 | 84 | 38 | (2*(7+12))=x | 2 7 12 + * x = | 2:people 7:egg 12:egg +:egg *:egg x:egg =:egg
EXPR: 0 | POS | INT | 10 | 84 | 26 | ((2*7)+12)=x | 2 7 * 12 + x = | 2:people 7:egg *:egg 12:egg +:egg x:egg =:egg
EXPR: 0 | POS | INT | 10 | 84 | 26 | x=((2*7)+12) | x 2 7 * 12 + = | x:egg 2:people 7:egg *:egg 12:egg +:egg =:egg
EXPR: 0 | POS | INT | 10 | 84 | 38 | x=(2*(7+12)) | x 2 7 12 + * = | x:egg 2:people 7:egg 12:egg +:egg *:egg =:egg
EXPR: 0 | POS | INT | 10 | 84 | 86 | (2+(7*12))=x | 2 7 12 * + x = | 2:egg 7:dozen 12:egg *:egg +:egg x:egg =:egg
EXPR: 0 | POS | INT | 10 | 84 | 86 | x=(2+(7*12)) | x 2 7 12 * + = | x:egg 2:egg 7:dozen 12:egg *:egg +:egg =:egg
EXPR: 0 | POS | INT | 12 | 84 | 60 | x=((7-2)*12) | x 7 2 - 12 * = | x:egg 7:dozen 2:dozen -:dozen 12:egg *:egg =:egg
EXPR: 0 | POS | INT | 12 | 84 | 31 | x=(7+(2*12)) | x 7 2 12 * + = | x:egg 7:egg 2:people 12:egg *:egg +:egg =:egg
EXPR: 0 | POS | INT | 12 | 84 | 13 | (2*(x-7))=12 | 2 x 7 - * 12 = | 2:people x:egg 7:egg -:egg *:egg 12:egg =:egg
EXPR: 0 | POS | INT | 12 | 84 | 10 | x=(2*(12-7)) | x 2 12 7 - * = | x:egg 2:people 12:egg 7:egg -:egg *:egg =:egg
