parameters: n=11 l=5 k=1 p=5 q=1 m=11
TOTAL 224 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 0 | 39 | 15 | x=((20+(12-(20+5)))+8) | x 20 12 20 5 + - + 8 + = | x:sticker 20:sticker 12:sticker 20:sticker 5:sticker +:sticker -:sticker +:sticker 8:sticker +:sticker =:sticker
EXPR: 0 | POS | INT | 0 | 39 | 1 | ((20-(12+(20-5)))+8)=x | 20 12 20 5 - + - 8 + x = | 20:sticker 12:sticker 20:sticker 5:sticker -:sticker +:sticker -:sticker 8:sticker +:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 0 | 39 | 41 | x=((20-(12-(20+5)))+8) | x 20 12 20 5 + - - 8 + = | x:sticker 20:sticker 12:sticker 20:sticker 5:sticker +:sticker -:sticker -:sticker 8:sticker +:sticker =:sticker
EXPR: 0 | POS | INT | 0 | 39 | 9 | x=((20+(12-(20-5)))-8) | x 20 12 20 5 - - + 8 - = | x:sticker 20:sticker 12:sticker 20:sticker 5:sticker -:sticker -:sticker +:sticker 8:sticker -:sticker =:sticker
EXPR: 0 | POS | INT | 0 | 39 | 31 | ((20-(12-(20-5)))+8)=x | 20 12 20 5 - - - 8 + x = | 20:sticker 12:sticker 20:sticker 5:sticker -:sticker -:sticker -:sticker 8:sticker +:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 0 | 39 | 25 | x=(((20+(12-20))+5)+8) | x 20 12 20 - + 5 + 8 + = | x:sticker 20:sticker 12:sticker 20:sticker -:sticker +:sticker 5:sticker +:sticker 8:sticker +:sticker =:sticker
EXPR: 0 | POS | INT | 0 | 39 | 25 | ((((20-12)+20)+5)-8)=x | 20 12 - 20 + 5 + 8 - x = | 20:sticker 12:sticker -:sticker 20:sticker +:sticker 5:sticker +:sticker 8:sticker -:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 0 | 39 | 25 | ((((20+12)-20)+5)+8)=x | 20 12 + 20 - 5 + 8 + x = | 20:sticker 12:sticker +:sticker 20:sticker -:sticker 5:sticker +:sticker 8:sticker +:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 31 | ((20+((20-12)-5))+8)=x | 20 20 12 - 5 - + 8 + x = | 20:sticker 20:sticker 12:sticker -:sticker 5:sticker -:sticker +:sticker 8:sticker +:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 25 | ((((12-20)+20)+5)+8)=x | 12 20 - 20 + 5 + 8 + x = | 12:sticker 20:sticker -:sticker 20:sticker +:sticker 5:sticker +:sticker 8:sticker +:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 15 | x=((20+(12-(20-8)))-5) | x 20 12 20 8 - - + 5 - = | x:sticker 20:sticker 12:sticker 20:sticker 8:sticker -:sticker -:sticker +:sticker 5:sticker -:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 25 | (((20-(12+20))+x)-5)=8 | 20 12 20 + - x + 5 - 8 = | 20:sticker 12:sticker 20:sticker +:sticker -:sticker x:sticker +:sticker 5:sticker -:sticker 8:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 15 | ((20+((12-20)+8))-5)=x | 20 12 20 - 8 + + 5 - x = | 20:sticker 12:sticker 20:sticker -:sticker 8:sticker +:sticker +:sticker 5:sticker -:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 25 | x=(((20+(12-20))+8)+5) | x 20 12 20 - + 8 + 5 + = | x:sticker 20:sticker 12:sticker 20:sticker -:sticker +:sticker 8:sticker +:sticker 5:sticker +:sticker =:sticker
